geolocation_city,avg,avg
sao sebastiao da amoreira,-23.465011850073953,-50.76082356050152
recursolandia,-8.72318758598064,-47.222531571279234
são sebastião da amoreira,-23.46504264450599,-50.76216853355131
joanésia,-19.17646978625848,-42.68029308960365
gália,-22.291395730225183,-49.55090000888804
apiacá,-21.15057398340369,-41.5709705731797
aporá,-11.679041195321034,-38.12718919875407
urucania,-20.352429245621725,-42.747499823795316
caruaru,-8.280838827967244,-35.97142784180056
sobrado,-7.147469450226598,-35.23749153904038
lencois,-12.547327417407976,-41.38305907736813
venda nova do imigrante-es,-20.33847648967304,-41.13285006324232
esmeralda,-28.056984961059428,-51.189563260380716
piumhi,-20.468708252692608,-45.960227537029006
divisa alegre,-15.725920378278673,-41.3414846034514
nova alvorada,-28.677015239531137,-52.16486968653306
pedras grandes,-28.43635694924699,-49.185920749229766
taiaçu,-21.143916845731848,-48.51079848107177
inimutaba,-18.731612623128893,-44.36174448647697
itaboraí,-22.75092464852855,-42.87332148576293
itapucá,-28.78435286676516,-52.17252562552299
araçatuba,-21.204529659652472,-50.443234271485444
tatuí,-23.35186084308457,-47.84838126727027
araújos,-19.944553325713837,-45.16498298249606
bálsamo,-20.737083992742107,-49.582216602801395
benjamin constant do sul,-27.515351327457267,-52.593046103938015
acari,-6.436124915575116,-36.640335529330684
reduto,-20.245060333897484,-41.982938186773104
itaipulândia,-25.14200976535237,-54.29984926010633
caldas,-21.91385284576575,-46.39241187788379
rurópolis,-4.106373762729634,-54.90994782637326
ivaiporã,-24.246868995468716,-51.672065729904354
bueno brandao,-22.442842181129254,-46.34874000609387
balneário camboriú,-27.004554392090025,-48.63780655782501
nova trento,-27.28299944363184,-48.93077294776362
barra do jacaré,-23.11274456799206,-50.18059906256319
confresa,-10.63429415830214,-51.57675087096199
satubinha,-4.038562291788479,-45.23737623167276
maringá,-23.42006511083864,-51.932759230695765
cristais,-20.875296630804293,-45.51623716422217
santa terezinha de itaipu,-25.4428621177467,-54.40276472776409
itaiba,-8.946154543162868,-37.42001139874787
epitaciolândia,-11.028213894210161,-68.73936589036356
* cidade,-25.57174841548848,-49.33437407992388
são roque de minas,-20.2477088117959,-46.366075454473986
salto do ceu,-15.128823367920884,-58.131038278711756
costa rica,-18.54097423244935,-53.132740092362525
macuco de minas,-21.062990905913566,-44.6335216202426
grajaú,-5.816507482387725,-46.14911676812709
três lagoas,-20.791330985585866,-51.70587115742984
pontinha do cocho,-19.014033253287685,-53.90088877459383
governador luiz rocha,-5.485450353009543,-44.08426014532511
santa cruz de monte castelo,-22.95814977271702,-53.29485095700365
flores do piauí,-7.79451009838345,-42.92567465874557
oleo,-22.940522206144777,-49.34064276425811
aguas mornas,-27.70103345965437,-48.83820955993601
sapezal,-13.543400052390021,-58.80819185176762
ouroeste,-20.00168960671946,-50.375282349761356
jupia,-26.397420456915423,-52.73123634007143
alexandrita,-19.70290819846817,-50.41424707469225
rio grande da serra,-23.74562489391659,-46.39462033694684
alagoa grande,-7.041755696576409,-35.63219332049747
engenheiro schnoor,-17.161373735590967,-42.08205490033642
tapera,-28.627901293386625,-52.86988286131272
ouro velho,-7.622383492508776,-37.15033492579336
sao sebastiao do paraiso,-20.91379990418079,-46.98649394911621
joão amaro,-12.79991674393986,-40.35400462369489
estrela do indaiá,-19.56058013720357,-45.79124220342278
santa cruz do escalvado,-20.237002273038154,-42.81376606851459
baldim,-19.353439868075156,-43.95976260855736
boca da mata,-9.644246828974058,-36.21371252866984
marmeleiro,-26.149735794237845,-53.02966720898466
glória,-9.342155273538305,-38.25645111020792
três fronteiras,-20.23660493686434,-50.89058898338614
santo amaro de campos,-17.8608244295061,-43.11177614851457
turvelandia,-17.852077035406076,-50.30581292967397
guassusse,-6.245285440589121,-38.91626639176536
cangucu,-31.395018960733974,-52.67732125482773
apuí,-7.196901671946424,-59.88933924287576
itapissuma,-7.775111004572887,-34.897548064128834
jaguaruna,-28.63392098735775,-49.024157474362944
abatiá,-23.30473194502101,-50.30671144373594
mutunopolis,-13.728974998028617,-49.27631887404556
tefe,-3.3519927636648448,-64.71282943026256
fernão,-22.360485266707755,-49.521686746043706
cosmopolis,-22.639831692877337,-47.188736185757904
porto estrela,-15.330308584541646,-57.20108733020316
pouso alegre,-22.236287384428707,-45.93097049415969
várzea da palma,-17.592271978526053,-44.73848660054518
sao jose do norte,-31.957293949776474,-52.006745465674435
iconha,-20.78929879189499,-40.81339847159394
divinésia,-20.989125212511055,-43.01033006726198
corumbataí,-22.22455223158492,-47.622292119004335
chopinzinho,-25.85474663785246,-52.529928364678995
ipaba,-19.4158255230708,-42.41082528054917
coromandel,-18.476274215002952,-47.19682128916467
taquarituba,-23.532344407408797,-49.24632223359839
embaúba,-20.98083912108512,-48.83594190782696
paraguacu paulista,-22.421509030318667,-50.580886100006964
comendador venancio,-21.180642994286757,-42.10448547736673
crisopolis,-11.510576155251695,-38.15124556827449
carabuçu,-21.215843207560308,-41.59515776729577
lago dos rodrigues,-4.612501315323962,-44.979190459356985
itaipé,-17.401263454410607,-41.66882524303413
cachoeira de minas,-22.35581397080511,-45.78233456696949
girau do ponciano,-9.884218075749795,-36.82478093494158
carnaiba do sertao,-9.589271582271095,-40.425445511064936
retirolândia,-11.492748667441083,-39.42746775923442
sao jose de mipibu,-6.069934492948,-35.24718842517891
sao jorge do tiradentes,-8.445856975859286,-53.478908078731195
sabinopolis,-18.666878737812752,-43.08164367958556
dias dávila,-12.621896179676414,-38.2937980094494
santo antônio do rio abaixo,-19.229063017219303,-43.252069055966096
tapinas,-21.446557199012133,-48.78737039593602
cruzeta,-6.4126302488840325,-36.787756294207945
gouveia,-18.464975656341,-43.751180145416356
lagoa grande,-14.28207590006539,-44.00103361532391
barro alto,-14.108306872734502,-47.03648683823201
tamboril do piaui,-8.401252761358954,-42.91263794033974
santa barbara d oeste,-22.749383864227873,-47.39113317547492
macau,-5.114363937006374,-36.63185605079769
apora,-11.665688918521814,-38.09323846103476
tres coroas,-29.51087189582568,-50.78144551200184
caldas novas,-17.739423770726262,-48.61985263114809
brejinho de nazare,-11.018089399089433,-48.57082448171016
são domingos do araguaia,-5.550934660082295,-48.73137871172831
limeira,-22.57347896397699,-47.408479247924035
claro dos poções,-17.081945429134283,-44.20749588686254
barra bonita,-22.500722815617447,-48.5765920231022
são salvador do tocantins,-12.74889317984065,-48.23568491557707
caravelas,-17.70676566862526,-39.310128808959114
arenopolis,-16.385489638361854,-51.55956684307419
júlio mesquita,-22.010416030094653,-49.78845684938668
araçoiaba da serra,-23.516556478199472,-47.61146966015303
messias,-9.389472780790879,-35.83969071517308
abadiânia,-16.193554941919746,-48.71214266034082
itupiranga,-5.135283145567654,-49.356353172885186
tapirai,-23.19985674668722,-47.226999422281935
itaparica,-12.898324480246517,-38.66868381743053
paula freitas,-26.205468507303863,-50.93207217140116
juruena,-10.329327529090403,-58.49680785981626
cambara,-23.041490931290042,-50.0755770168954
eunapolis,-16.36954611629204,-39.5835846090869
ariranha do ivaí,-24.38695032123424,-51.58886947716671
parauapebas,-6.074459319025062,-49.906184607515485
água fria de goiás,-14.981775909700652,-47.78112147158687
silves,-2.836872510643824,-58.21290626058511
padre carvalho,-16.347208540874067,-42.531075839373294
nova roma do sul,-28.98723438823863,-51.40785295265843
corrego danta,-19.824541023424352,-45.90554443222365
guanhães,-18.77814142035036,-42.93693924234734
ibate,-21.95040275994912,-48.002174058465606
porto feliz,-23.21199047441578,-47.52209837709137
itiuba,-10.692855117652062,-39.853177292503005
alto araguaia,-17.317260081329724,-53.2233277464179
mandirituba,-25.770101783275738,-49.324729618238564
potirendaba,-21.045033707741553,-49.376157805058476
juazeiro do piaui,-5.163250094955017,-41.70738937164692
caibi,-27.074346228038745,-53.24935701690006
rainha isabel,-9.275841958770897,-36.61337310343079
laranja da terra,-19.890320604855525,-41.06009899610181
juripiranga,-7.373340132679288,-35.23853209938073
piratuba,-27.420999300127587,-51.77517148009965
barao de cocais,-19.93492158174252,-43.48072324287142
saloa,-8.975499036830813,-36.688503076088416
ministro andreazza,-11.189419682393684,-61.52464349969754
rifaina,-20.079712422710763,-47.42466662704399
boa vista dos andradas,-26.294413159893192,-48.82067181031083
princesa isabel,-7.736299776026694,-37.98999119518355
cotiporã,-28.99117882796602,-51.696306509246256
conceicao do mato dentro,-19.02292255950342,-43.42363422446117
sao simao,-20.29059509291764,-48.9918409228849
caetite,-14.063922388006693,-42.48750601198863
pecem,-3.5536183075657073,-38.8304446418515
dores de guanhães,-19.052992366137577,-42.922274045036204
jutí,-22.861438580834985,-54.60527608217584
piramboia,-22.93627203139952,-48.16220028976465
olhos-d agua,-17.40202072707966,-43.56997498584671
palmeira do piaui,-8.726319258209664,-44.23662030742234
iguai,-14.75293616099179,-40.08857520475788
juazeiro do norte,-7.222549481274525,-39.31611074131908
são josé do cerrito,-27.660157955332576,-50.58063103143941
novo diamantino,-14.382795176334236,-56.405082645906944
lagoa salgada,-6.122106000000002,-35.475278930623794
palmeiras do tocantins,-6.613710017143217,-47.56426729143147
aragoiania,-16.911957011140164,-49.45104782108625
ourém,-1.550188026202524,-47.11404299596949
sao roque do canaa,-19.739685896246804,-40.66133018589756
parapua,-21.78161329678971,-50.79149585919142
cruzeiro,-22.108635386583593,-45.16518426043366
tres fronteiras,-20.235587391306968,-50.889538783462754
antonio olinto,-25.986104950861993,-50.199083172202755
sao pedro do parana,-22.83021091104797,-53.2004246832454
gonçalves,-22.663475630549048,-45.8489490059637
brasilia,-15.8110726594882,-47.97170487788511
guaiuba,-4.044251951370843,-38.64285520147741
vila bela da santissima trindade,-15.050985149847184,-59.95654575324172
itapororoca,-6.8295356000734335,-35.24675385868634
goncalves,-22.658864912855407,-45.85581402958383
amambaí,-23.098371272219378,-55.22577336548787
itapaje,-3.6866551255827082,-39.584305515567095
polvilho,-23.413244109224184,-46.84751565686608
aluminio,-23.52409871652528,-47.25667632200117
óleo,-22.940221807623427,-49.339675971611044
jiquiriçá,-13.257715960524756,-39.57124347443796
milhã,-5.6754970016548265,-39.19503198841616
manoel emidio,-8.00726339268877,-43.872066792925835
arraial d'ajuda,-16.38587364604026,-39.29731978307632
campina do simao,-25.11099207263434,-51.79604793071909
são josé do belmonte,-7.863035644257648,-38.75877926992335
cunha porã,-26.887796730499087,-53.174500078241806
santa rosa,-27.92137055926895,-54.44175613309931
gurinhata,-19.212976296017885,-49.78492236022583
campo bom,-29.677045008814133,-51.06040344017741
cerro azul,-24.82813753724815,-49.2637246103996
espumoso,-28.730670471052083,-52.84447519303609
santa rosa da serra,-19.63457462644284,-45.95093279251439
lucena,-6.9327437095961395,-34.864933626529265
sonho azul,-15.771533959036402,-58.12140979662527
segredo,-29.33405462651903,-52.971542320897775
manoel ribas,-24.517638745035434,-51.674409443391355
sao jose do sabugi,-6.775896970030418,-36.79834595097977
rio dos bois,-9.342895608649025,-48.53551710568374
campinas,-22.900861066020333,-47.06853607473838
alvinópolis,-20.098402153790882,-43.04737640845585
vitorinos,-18.290706758454814,-43.9815230010003
chale,-20.045439401812278,-41.69087685460777
parauna,-16.967379272850586,-50.46511827897273
iguaracu,-23.19591003059723,-51.825793525758854
sitio do quinto,-10.358875967857864,-38.17571627824467
